Author_Id,Author_Name,Author_Surename
"34632","Polak","Agnieszka"
"34633","Simson","Daniel"
"34634","Schreiber","Tomasz"
"34635","Yukich","Joseph"
"34636","Mikulski","Lukasz"
"34637","Piatkowski","Marcin"
"34638","Kozlowska","Anna"
"34639","Wyrabkiewicz","Kamil"
"34640","Boniewicz","Miroslaw"
"34641","Simson","Daniel"
"34642","Zajac","Katarzyna"
"34643","Polak","Agnieszka"
"34644","Simson","Daniel"
"34645","Simson","Daniel"
"34646","Simson","Daniel"
"34647","Felisiak","Mariusz"
"34648","Sokolov","Oleksandr"
"34649","Morozova","Olga"
"34650","Szczepanski","Piotr"
"34651","Wodzki","Romuald"
"34652","Zajac","Katarzyna"
"34653","Piersa","Jaroslaw"
"34654","Szroeder","Pawel"
"34655","Gorska","Agnieszka"
"34656","Tsierkezos","Nikos"
"34657","G.","Ritter"
"34658","Uwe","Strupinski"
"34659","Pelc","Marta"
"34660","Chico","Leonor"
"34661","Ayuela","Andr&#0233"
"34662","s","Jaskolski"
"34663","Kozlowska","Anna"
"34664","Sylwestrzak","Marcin"
"34665","Szlag","Daniel"
"34666","Szkulmowski","Maciej"
"34667","Gorczynska","Iwona"
"34668","Bukowska","Danuta"
"34669","Wojtkowski","Maciej"
"34670","Targowski","Piotr"
"34671","Simson","Daniel"
"34672","Krysztowiak","Przemyslaw"
"34673","Gojowy","Piotr"
"34674","Marczak","Grzegorz"
"34675","Simson","Daniel"
"34676","Zajac","Katarzyna"
"34677","Bocian","Rafal"
"34678","Felisiak","Mariusz"
"34679","Simson","Daniel"
"34680","Polak","Agnieszka"
"34681","Simson","Daniel"
"34682","Gasiorek","Marcin"
"34683","Olewnik-Kruszkowska","Ewa"
"34684","Olewnik-Kruszkowska","Ewa"
"34685","Kowalski","Krzysztof"
"34686","Retkowska","Izabella"
"34687","Dudzik","Sebastian"
"34688","Janicki","Ryszard"
"34689","Kleijn","Jetty"
"34690","Koutny","Maciej"
"34691","Mikulski","Lukasz"
"34692","Janicki","Ryszard"
"34693","Kleijn","Jetty"
"34694","Koutny","Maciej"
"34695","Mikulski","Lukasz"
"34696","Ryczkowska","Magdalena"
"34697","Syslo","Maciej"
"34698","M.","Kwiatkowska"
"34699","Anna","Beata"
"34700","Gojowy","Piotr"
"34701","Gojowy","Piotr"
"34702","Gasiorek","Marcin"
"34703","Simson","Daniel"
"34704","Zajac","Katarzyna"
"34705","Twardowska","Magdalena"
"34706","Kaminska","Izabela"
"34707","Wiwatowski","Kamil"
"34708","Ashraf","Khuram"
"34709","Cogdell","Richard"
"34710","J.","Maćkowski"
"34711","Sebastian","Niedziolka-J&#0246"
"34712","nsson","Joanna"
"34713","Bocian","Rafal"
"34714","Felisiak","Mariusz"
"34715","Simson","Daniel"
"34716","Furmaniak","Sylwester"
"34717","Terzyk","Artur"
"34718","P.","Gauden"
"34719","Piotr","A."
"34720","Kowalczyk","Piotr"
"34721","Harris","Peter"
"34722","J.","F."
"34723","Szroeder","Pawel"
"34724","Tsierkezos","Nikos"
"34725","G.","Walczyk"
"34726","Mariusz","Strupinski"
"34727","Wlodzimierz","Gorska-Pukownik"
"34728","Agnieszka","Strzelecki"
"34729","Janusz","Wiwatowski"
"34730","Kamil","Scharff"
"34731","Peter","Ritter"
"34732","Borkowski","Dariusz"
"34733","Jakubowski","Adam"
"34734","Janczak-Borkowska","Katarzyna"
"34735","Ayuela","Andr&#0233"
"34736","s","Jaskolski"
"34737","Wlodzimierz","Santos"
"34738","Hernan","Chico"
"34739","Jaskolski","Wlodzimierz"
"34740","Ayuela","Andr&#0233"
"34741","Jakubowski","Rafal"
"34742","Gogolinska","Anna"
"34743","Peplowski","Lukasz"
"34744","Skrzyniarz","Piotr"
"34745","Nowak","Wieslaw"
"34746","Osinska","Veslava"
"34747","Gasiorek","Marcin"
"34748","Simson","Daniel"
"34749","Zajac","Katarzyna"
"34750","Dudzik","Sebastian"
"34751","Dudzik","Sebastian"
"34752","Olewnik-Kruszkowska","Ewa"
"34753","Kowalski","Krzysztof"
"34754","Kasperska","Patrycja"
"34755","Richert","Jozef"
"34756","Marak","Katarzyna"
"34757","Dudzik","Sebastian"
"34758","Osinska","Veslava"
"34759","Osinski","Grzegorz"
"34760","Tomaszewski","Wojciech"
"34761","Kaczmarski","Krzysztof"
"34762","Przymus","Piotr"
"34763","Rzazewski","Pawel"
"34764","Krysztowiak","Przemyslaw"
"34765","Syslo","Maciej"
"34766","Eichelsbacher","Peter"
"34767","Rai&#0269","Martin"
"34768","Schreiber","Tomasz"
"34769","Maćkowski","Sebastian"
"34770","Kaminska","Izabela"
"34771","Felisiak","Mariusz"
"34772","Simson","Daniel"
"34773","Kaniecki","Mariusz"
"34774","Kosakowska","Justyna"
"34775","Malicki","Piotr"
"34776","Marczak","Grzegorz"
"34777","Kasjan","Stanislaw"
"34778","Simson","Daniel"
"34779","Kasjan","Stanislaw"
"34780","Simson","Daniel"
"34781","Kasjan","Stanislaw"
"34782","Simson","Daniel"
"34783","Gasiorek","Marcin"
"34784","Simson","Daniel"
"34785","Zajac","Katarzyna"
"34786","Berner","Nina"
"34787","C.","Winters"
"34788","Sin&#0233","ad"
"34789","Backes","Claudia"
"34790","Yim","Chanyoung"
"34791","D&#0252","mbgen"
"34792","KIm","C."
"34793","Kaminska","Izabela"
"34794","Maćkowski","Sebastian"
"34795","Cafolla","Attilio"
"34796","A.","Hirsch"
"34797","Andreas","Duesberg"
"34798","Georg","S."
"34799","Twardowska","Magdalena"
"34800","Chomicki","Dariusz"
"34801","Kaminska","Izabela"
"34802","Niedziolka-J&#0246","nsson"
"34803","Joanna","Maćkowski"
"34804","Jaskolski","Wlodzimierz"
"34805","Chico","Leonor"
"34806","Ayuela","Andr&#0233"
"34807","Pelc","Marta"
"34808","Jaskolski","Wlodzimierz"
"34809","Ayuela","Andr&#0233"
"34810","s","Chico"
"34811","Retkowska","Izabella"
"34812","Barylska","Kamila"
"34813","Best","Eike"
"34814","Boudalis","Georgios"
"34815","Ciechanska","Marzenna"
"34816","Engel","Patricia"
"34817","Ion","Rodica"
"34818","Kecskem&#0233","ti"
"34819","Istvan","Moussakova"
"34820","Elissaveta","Pinzari"
"34821","Flavia","Schir&#0242"
"34822","Joseph","Vodopivec"
"34823","Karbowska-Berent","Joanna"
"34824","Trykowski","Grzegorz"
"34825","Trykowski","Grzegorz"
"34826","Biniak","Stanislaw"
"34827","Stobinski","Leszek"
"34828","Malolepszy","Artur"
"34829","Maćkowski","Sebastian"
"34830","Kaminska","Izabela"
"34831","Gojowy","Piotr"
"34832","Nayak","Pramoda"
"34833","Janicki","Ryszard"
"34834","Kleijn","Jetty"
"34835","Koutny","Maciej"
"34836","Mikulski","Lukasz"
"34837","Radchenko","T."
"34838","M.","Tatarenko"
"34839","V.","A."
"34840","Sagalianov","I."
"34841","Yu.","Prylutskyy"
"34842","Yu.","I."
"34843","Szroeder","Pawel"
"34844","Biniak","Stanislaw"
"34845","Simson","Daniel"
"34846","Simson","Daniel"
"34847","Mroz","Andrzej"
"34848","Mroz","Andrzej"
"34849","Ilnicka","Anna"
"34850","Lukaszewicz","Jerzy"
"34851","Furmaniak","Sylwester"
"34852","Terzyk","Artur"
"34853","P.","Gauden"
"34854","Piotr","A."
"34855","Wloch","Jerzy"
"34856","Kowalczyk","Piotr"
"34857","Werengowska-Ciećwierz","Karolina"
"34858","M.","Wisniewski"
"34859","Marek","Harris"
"34860","Peter","J."
"34861","Wloch","Jerzy"
"34862","Terzyk","Artur"
"34863","P.","Gauden"
"34864","Piotr","A."
"34865","Wesolowski","Radoslaw"
"34866","P.","Kowalczyk"
"34867","Ryczkowska","Magdalena"
"34868","Nowicki","Marek"
"34869","Bala","Piotr"
"34870","Gasiorek","Marcin"
"34871","Simson","Daniel"
"34872","Zajac","Katarzyna"
"34873","Mroz","Andrzej"
"34874","Jaskolski","Wlodzimierz"
"34875","Pelc","Marta"
"34876","Chico","Leonor"
"34877","Ayuela","Andr&#0233"
"34878","Bednarz","Ewelina"
"34879","Wesolowski","Radoslaw"
